R	53.3632	-6.25908	P737	08 Oct 2023	P737\n11:44 - Maynooth to Dublin Connolly (7 mins late)\nDeparted Drumcondra next stop Dublin Connolly	Southbound
R	53.3704	-6.50598	D906	08 Oct 2023	D906\n11:47 - Dublin Connolly to Maynooth (5 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.373	-6.20442	E954	08 Oct 2023	E954\n12:00 - Dun Laoghaire to Howth (0 mins late)\nArrived Killester next stop Harmonstown	Northbound
R	53.3752	-6.31388	D907	08 Oct 2023	D907\n12:17 - Dublin Connolly to Maynooth (1 mins late)\nDeparted Pelletstown next stop Ashtown	Northbound
R	53.3815	-6.17699	E851	08 Oct 2023	E851\n11:45 - Dun Laoghaire to Malahide (9 mins late)\nDeparted Raheny next stop Kilbarrack	Northbound
R	53.3816	-6.37149	P738	08 Oct 2023	P738\n12:08 - Maynooth to Dublin Connolly (0 mins late)\nArrived Castleknock next stop Navan Road Parkway	Southbound
R	53.4169	-6.1512	D806	08 Oct 2023	D806\n12:15 - Dublin Connolly to Drogheda (0 mins late)\nArrived Portmarnock next stop Malahide	Northbound
R	53.5741	-6.11933	P708	08 Oct 2023	P708\n12:05 - Drogheda to Dublin Connolly (2 mins late)\nDeparted Skerries next stop Rush and Lusk	Southbound
R	53.6888	-7.60299	A903	08 Oct 2023	A903\n11:05 - Sligo to Dublin Connolly (1 mins late)\nArrived Edgeworthstown next stop Mullingar	Southbound
R	53.712	-6.33538	A144	08 Oct 2023	A144\n12:00 - Dublin Connolly to Belfast (-1 mins late)\nArrived Drogheda next stop Dundalk	Northbound
R	53.712	-6.33538	P710	08 Oct 2023	P710\n13:05 - Drogheda to Dublin Connolly (-37 mins late)\nDeparted Drogheda next stop Laytown	Southbound
R	54.0007	-6.41291	A143	08 Oct 2023	A143\n11:05 - Belfast to Dublin Connolly (0 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
T	53.2043	-6.10046	E275	08 Oct 2023	E275\n12:15 - Greystones to Bray(1 mins late)\nTERMINATED Bray at 12:26	Northbound
T	53.2951	-6.13498	E407	08 Oct 2023	E407\n11:35 - Howth to Dun Laoghaire(0 mins late)\nTERMINATED Dun Laoghaire at 12:24	Southbound
T	53.4349	-6.46898	D373	08 Oct 2023	D373\n12:18 - Clonsilla to M3 Parkway(0 mins late)\nTERMINATED M3 Parkway at 12:30	Northbound
T	53.712	-6.33538	D804	08 Oct 2023	D804\n11:22 - Dublin Connolly to Drogheda(1 mins late)\nTERMINATED Drogheda at 12:22	Northbound
